episode,step_no,sku_id,action_id,action_name,epsilon,total_cost,raw_reward,reward,simulation_status,terminated,episode_total_reward,episode_total_cost
37,3,SKU_C,0,hold,0.828140703517588,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-1.7598217839667543,1759.821783966754
38,1,SKU_A,0,hold,0.8233668341708542,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-1001.4498001218129,1001449.8001218128
38,2,SKU_B,3,order_2w_cover,0.8233668341708542,999999.0,-999999.0,-999.999,SKIPPED_GATE_FAIL,False,-1001.4498001218129,1001449.8001218128
38,3,SKU_C,5,reduce_review,0.8233668341708542,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-1001.4498001218129,1001449.8001218128
39,1,SKU_A,5,reduce_review,0.8185929648241206,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-1.871557291257316,1871.557291257316
39,2,SKU_B,1,order_moq,0.8185929648241206,457.4856621538687,-457.4856621538687,-0.4574856621538687,SIMULATED,False,-1.871557291257316,1871.557291257316
39,3,SKU_C,1,order_moq,0.8185929648241206,158.88966383592893,-158.88966383592893,-0.15888966383592892,SIMULATED,True,-1.871557291257316,1871.557291257316
40,1,SKU_A,5,reduce_review,0.813819095477387,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-2.0797005984481616,2079.700598448162
40,2,SKU_B,0,hold,0.813819095477387,665.6289693447147,-665.6289693447147,-0.6656289693447147,SIMULATED,False,-2.0797005984481616,2079.700598448162
40,3,SKU_C,1,order_moq,0.813819095477387,158.88966383592893,-158.88966383592893,-0.15888966383592892,SIMULATED,True,-2.0797005984481616,2079.700598448162
41,1,SKU_A,1,order_moq,0.8090452261306533,1106.7179652675184,-1106.7179652675184,-1.1067179652675183,SIMULATED,False,-1.7598217839667543,1759.821783966754
41,2,SKU_B,1,order_moq,0.8090452261306533,457.4856621538687,-457.4856621538687,-0.4574856621538687,SIMULATED,False,-1.7598217839667543,1759.821783966754
41,3,SKU_C,3,order_2w_cover,0.8090452261306533,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-1.7598217839667543,1759.821783966754
42,1,SKU_A,2,order_1w_cover,0.8042713567839196,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-1.9082857839667542,1908.285783966754
42,2,SKU_B,1,order_moq,0.8042713567839196,457.4856621538687,-457.4856621538687,-0.4574856621538687,SIMULATED,False,-1.9082857839667542,1908.285783966754
42,3,SKU_C,5,reduce_review,0.8042713567839196,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-1.9082857839667542,1908.285783966754
43,1,SKU_A,2,order_1w_cover,0.799497487437186,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-1.9082857839667542,1908.285783966754
43,2,SKU_B,1,order_moq,0.799497487437186,457.4856621538687,-457.4856621538687,-0.4574856621538687,SIMULATED,False,-1.9082857839667542,1908.285783966754
43,3,SKU_C,2,order_1w_cover,0.799497487437186,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-1.9082857839667542,1908.285783966754
44,1,SKU_A,2,order_1w_cover,0.7947236180904522,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-2.1164290911576003,2116.4290911576004
44,2,SKU_B,2,order_1w_cover,0.7947236180904522,665.6289693447147,-665.6289693447147,-0.6656289693447147,SIMULATED,False,-2.1164290911576003,2116.4290911576004
44,3,SKU_C,3,order_2w_cover,0.7947236180904522,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-2.1164290911576003,2116.4290911576004
45,1,SKU_A,1,order_moq,0.7899497487437186,1106.7179652675184,-1106.7179652675184,-1.1067179652675183,SIMULATED,False,-1.9679650911576003,1967.9650911576005
45,2,SKU_B,0,hold,0.7899497487437186,665.6289693447147,-665.6289693447147,-0.6656289693447147,SIMULATED,False,-1.9679650911576003,1967.9650911576005
